"title","year","doi"
"User participation for successful development of eHealth self-management interventions...European Academy of Nursing Science and the Swedish Society of Nursing Summer Conference 2017: The Future Direction of European Nursing and Nursing Research.",NA,"10.1186/s12912-017-0218-2"
"The Value of Including People with Dementia in the Co-Design of Personalized eHealth Technologies.",NA,"10.1159/000497804"
"Developing a rare disease chronic care model: Management of systemic sclerosis (MANOSS) study protocol.",NA,"10.1111/jan.14185"
"Health care reform in Belgium: contracting for co-creating integrated care as change management strategy.",NA,"10.5334/ijic.s2058"
"OP62 Let's Co-design A Tool To Assess Overweight And Obesity Health Apps",NA,"10.1017/S0266462319001235"
"Consumer Co-creation of Value in mHealth (Mobile Health) Service",NA,"10.1177/2394964317697611"
"A multilevel approach to knowledge sharing: Improving health services for families and children",NA,"10.1111/napa.12079"
"Avoiding Failure for Australia's Digital Health Record: The Findings from a Rural E-Health Participatory Research Project.",NA,""
"Conceptual Design and Iterative Development of a mHealth App by Clinicians, Patients and heir Families...Health Informatics Conference, Sydney Australia, 2018",NA,"10.3233/978-1-61499-890-7-170"
"Co-creating a large-scale adolescent health survey integrated with access to digital health interventions",2020,"10.1177/2055207620947962"
"Reliable Data Collection in Participatory Trials to Assess Digital Healthcare Applications",NA,"10.1109/ACCESS.2020.2985122"
"Working with patients and the public to design an electronic health record interface: a qualitative mixed-methods study.",NA,"10.1186/s12911-019-0993-7"
"Photovoice as a research, advocacy, and harmonization tool for refugee and local youth in Turkey",2021,"10.1093/eurpub/ckab164.864"
"Beyond pilotitis: taking digital health interventions to the national level in China and Uganda.",NA,"10.1186/s12992-017-0275-z"
"Participatory co-design and normalisation process theory with staff and patients to implement digital ways of working into routine care: the example of electronic patient-reported outcomes in UK renal services",NA,"10.1186/s12913-021-06702-y"
"An iterative process for developing digital gamified sexual health education for adolescent students in low-tech settings",NA,"10.1108/ILS-07-2019-0066"
"Using Grounded Theory to Inform the Human-Centered Design of Digital Health in Geriatric Palliative Care",NA,"10.1016/j.jpainsymman.2020.06.027"
"mJustice: Preliminary Development of a Mobile App for Medical-Forensic Documentation of Sexual Violence in Low-Resource Environments and Conflict Zones.",NA,"10.9745/GHSP-D-16-00233"
"The Development of Complex Digital Health Solutions: Formative Evaluation Combining Different Methodologies",NA,"10.2196/resprot.9521"
"The new role of patients in future health settings.",NA,""
"“A coalition of the willing”: experiences of co-designing an online pain management programme (iSelf-help) for people with persistent pain",2021,"10.1186/s40900-021-00275-0"
"Digital health now and in the future: Findings from a participatory design stakeholder workshop.",NA,"10.1177/2055207617740018"
"Cocreation of a digital patient health hub to enhance education and person-centred integrated care post hip fracture: a mixed-methods study protocol",NA,"10.1136/bmjopen-2019-033128"
"Feasibility and Acceptability of a Mobile Technology Intervention to Support Postabortion Care (The FACTS Study Phase II) After Surgical Abortion: User-Centered Design",NA,"10.2196/14558"
"From Return of Information to Return of Value: Ethical Considerations when Sharing Individual-Level Research Data.",NA,"10.3233/JAD-190589"
"Feasibility and preliminary efficacy of the âHEYMANâ healthy lifestyle program for young men: a pilot randomised controlled trial",NA,"10.1186/s12937-017-0227-8"
"The Optimization of an eHealth Solution (Thought Spot) with Transition-Aged Youth in Postsecondary Settings: Participatory Design Research.",NA,"10.2196/jmir.8102"
"Active Patient Participation in the Development of an Online Intervention",2014,"10.2196/resprot.3695"
"Do participation and personalization matter? A model-driven evaluation of an Internet-based patient education intervention for fibromyalgia patients",NA,"10.1016/j.pec.2013.04.007"
"What is needed to implement a computer-assisted health risk assessment tool? An exploratory concept mapping study",NA,"10.1186/1472-6947-12-149"
"Development of a ePRO-Based Palliative Care Intervention for Cancer Patients: A Participatory Design Approach.",NA,"10.3233/SHTI200300"
"SP0135 Co-Designing A Mobile Internet Service for Self-Management of Physical Activity in Rheumatoid Arthritis",NA,"10.1136/annrheumdis-2016-eular.6208"
"Towards Co-Creation of eHealth Services",NA,""
"Enhancing the Effectiveness of Consumer-Focused Health Information Technology Systems Through eHealth Literacy: A Framework for Understanding Users' Needs",NA,"10.2196/humanfactors.3696"
"Guidelines and Recommendations for Developing Interactive eHealth Apps for Complex Messaging in Health Promotion",NA,"10.2196/mhealth.4423"
"Designing an eHealth Well-Being Program: A Participatory Design Approach",NA,"10.3390/ijerph18147250"
"A multicomponent eHealth intervention for family carers for people affected by psychosis: A coproduced design and build study",NA,"10.2196/14374"
"Generative Participatory Design Methodology to Develop Electronic Health Interventions: Systematic Literature Review.",NA,"10.2196/13780"
"Designing a Mobile App to Enhance Parenting Skills of Latinx Parents: A Community-Based Participatory Approach",NA,"10.2196/12618"
"Just telling and selling: current limitations in the use of digital media in public health: a scoping review.",NA,"10.1016/j.puhe.2014.09.009"
"Participatory Methods to Engage Health Service Users in the Development of Electronic Health Resources: Systematic Review",NA,"10.2196/11474"
"A Framework for the Study of Complex mHealth Interventions in Diverse Cultural Settings",NA,"10.2196/mhealth.7044"
"Designing an eHealth Breastfeeding Resource With Indigenous Families Using a Participatory Design.",NA,"10.1177/1043659617731818"
"Participatory design of ehealth solutions for women from vulnerable populations with perinatal depression.",NA,"10.1093/jamia/ocv109"
"Wise practices for cultural safety in electronic health research and clinical trials with indigenous people: Secondary analysis of a randomized clinical trial",NA,"10.2196/14203"
"Use of an holistic approach for effective adoption of User-Centred-Design techniques in diabetes disease management: Experiences in user need elicitation.",NA,"10.1109/EMBC.2015.7318812"
"Development of the Niggle App for Supporting Young People on Their Dynamic Journey to Well-being: Co-design and Qualitative Research Study.",NA,"10.2196/21085"
"Usability and feasibility of a tablet-based Decision-Support and Integrated Record-keeping (DESIRE) tool in the nurse management of hypertension in rural  western Kenya.",NA,"10.1016/j.ijmedinf.2014.12.005"
"Usability evaluations of mobile mental health technologies: Systematic review",NA,"10.2196/15337"
"Empathy and journey mapping the healthcare experience: A community-based participatory approach to exploring women’s access to primary health services within melbourne’s arabic-speaking refugee communities",NA,"10.1080/13557858.2020.1734780"
"Co-designing mHealth technologies with youth: REACH Initiative in Turkey and Lebanon",2020,"10.1093/eurpub/ckaa165.1035"
"mHealth text messaging for physical activity promotion in college students: a formative participatory approach.",NA,"10.5993/AJHB.39.3.12"
"Using participatory methods to design an mHealth intervention for a low income country, a case study in Chikwawa, Malawi.",NA,"10.1186/s12911-017-0485-6"
"Using Mobile Devices to Deliver Lifestyle Interventions Targeting At-Risk High School Students: Protocol for a Participatory Design Study",NA,"10.2196/14588"
"User-Centered Design Process of an mHealth App for Health Professionals: Case Study.",NA,"10.2196/18079"
"Design of a randomized trial testing a multi-level weight-control intervention to reduce obesity and related health conditions in low-income workers.",NA,"10.1016/j.cct.2019.01.011"
"Time to listen: a mixed-method study examining community-based views of mobile technology for interventions to promote physical activity",NA,"10.1136/bmjhci-2020-100140"
"Co-design of mHealth Delivered Interventions: A Systematic Review to Assess Key Methods and Processes",NA,"10.1007/s13668-016-0165-7"
"Development of a Mobile Health Application for HIV Prevention Among At-Risk Populations in Urban Settings in East Africa: A Participatory Design Approach",NA,"10.2196/23204"
"Creating Gameful Design in mHealth: A Participatory Co-Design Approach",NA,"10.2196/11579"
"Targeting ethical considerations tied to image-based mobile health diagnostic support specific to clinicians in low-resource settings: the Brocher proposition.",NA,"10.1080/16549716.2019.1666695"
"Partnering in Digital Health Design: Engaging the Multidisciplinary Team in a Needs Analysis.",NA,""
"Evaluating the Development Processes of Consumer mHealth Interventions for Chronic Condition Self-management: A Scoping Review.",NA,"10.1097/CIN.0000000000000528"
"Use of Design Science for Informing the Development of a Mobile App for Persons Living with HIV.",NA,""
"Leveraging design thinking to build sustainable mobile health systems.",NA,"10.1080/03091902.2016.1218560"
"Preventing Cardiovascular Disease Among Urban African Americans With a Mobile Health App (the MOYO App): Protocol for a Usability Study",2020,"10.2196/16699"
"Selecting Evidence-Based Content for Inclusion in Self-Management Apps for Pressure Injuries in Individuals With Spinal Cord Injury: Participatory Design Study.",NA,"10.2196/15818"
"Design and implementation of an m-health data model for improving health information access for reproductive and child health services in low resource settings using a  participatory action research approach.",NA,"10.1186/s12911-018-0622-x"
"Development and Modification of a Mobile Health Program to Promote Postpartum Weight Loss in Women at Elevated Risk for Cardiometabolic Disease: Single-Arm Pilot Study",NA,"10.2196/16151"
"Developing a mHealth intervention to promote uptake of HIV testing among African communities in the UK: a qualitative study.",NA,"10.1186/s12889-016-3278-4"
"Promoting cardiovascular health and wellness among African-Americans: Community participatory approach to design an innovative mobile-health intervention.",NA,"10.1371/journal.pone.0218724"
"A Community-Engaged Approach to Developing an mHealth HIV/STI and Drug Abuse Preventive Intervention for Primary Care: A Qualitative Study",NA,"10.2196/mhealth.4620"
"Using Participatory Design to Inform the Connected and Open Research Ethics (CORE) Commons",NA,"10.1007/s11948-019-00086-3"
"Practitioner review: Co‐design of digital mental health technologies with children and young people",2020,"10.1111/jcpp.13258"
"Improving the theoretical understanding toward patient-driven health care innovation through online value cocreation: Systematic review",NA,""
"6.G. Workshop: Developing a consent model for health information – challenges in a rapidly changing digital world",NA,"10.1093/eurpub/ckab164.428"
"One Digital Health: A unified framework for future health ecosystems",NA,"10.2196/22189"
"eHealth, participatory medicine, and ethical care: A focus group study of patients’ and health care providers’ use of health-related Internet information",NA,"10.2196/jmir.3792"
"Co-design of a digital dietary intervention for adults at risk of type 2 diabetes.",NA,"10.1186/s12889-021-12102-y"
"Patient and Provider Cocreation of Mobile Texting Apps to Support Behavioral Health: Usability Study.",NA,"10.2196/12655"
"Leaders’ perspectives on learning health systems: a qualitative study",NA,"10.1186/s12913-020-05924-w"
"Systematically developing a family-based health promotion intervention for women with prior gestational diabetes based on evidence, theory and co-production: the Face-it study",NA,"10.1186/s12889-021-11655-2"
"Implementation factors affecting the large-scale deployment of digital health and well-being technologies: A qualitative study of the initial phases of the  'Living-It-Up' programme.",NA,"10.1177/1460458215594651"
"Community health alliances as social enterprises that digitally engage citizens and integrate services: A case study in Southwestern Sydney (protocol)",NA,"10.1177/2055207620930118"
"User-centred co-design with multiple user groups: The case of the electronic Patient Reported Outcome (ePRO) mobile application and portal.",NA,"10.5334/ijic.s3439"
"Co-design of eHealth interventions with children and young people",NA,"10.3389/fpsyt.2018.00481"
"Health care professionals' experiences of how an eHealth application can function as a value-creating resource - a qualitative interview study.",NA,"10.1186/s12913-021-07232-3"
"Anything but engaged: user involvement in the context of a national electronic health record implementation.",NA,""
"Patient Experiences of Diabetes eHealth",NA,"10.4018/ijskd.2014010101"
"A Web-Based Intervention to Prevent Multiple Chronic Disease Risk Factors Among Adolescents: Co-Design and User Testing of the Health4Life School-Based Program",NA,"10.2196/19485"
"Design Thinking for mHealth Application Co-Design to Support Heart Failure Self-Management.",NA,""
"Engaging the public on health information – the importance of being inclusive, authentic and collaborative",NA,"10.1093/eurpub/ckab164.430"
"People Centeredness, Chronic Conditions and Diversity Sensitive eHealth: Exploring Emancipation of the ‘Health Care System’ and the ‘Patient’ in Health Informatics",NA,"10.3390/life10120329"
"Participatory Design With Seniors: Design of Future Services and Iterative Refinements of Interactive eHealth Services for Old Citizens.",NA,"10.2196/med20.2729"
"Building infrastructure for digital health using Open innovation 2.0 in co design of a meta data registry framework to support integrated care.",NA,"10.5334/ijic.s3018"
"Development of an Intervention Targeting Multiple Health Behaviors Among High School Students: Participatory Design Study Using Heuristic Evaluation and Usability  Testing.",NA,"10.2196/17999"
"Integration of mHealth Information and Communication Technologies Into the Clinical Settings of Hospitals in Sub-Saharan Africa: Qualitative Study.",NA,"10.2196/26358"
"Co-design in mHealth Systems Development: Insights From a Systematic Literature Review",NA,"10.17705/1thci.00147"
"A Mobile Phone Intervention to Improve Obesity-Related Health Behaviors of Adolescents Across Europe: Iterative Co-Design and Feasibility Study.",NA,"10.2196/14118"
"MyStrengths, a Strengths-Focused Mobile Health Tool: Participatory Design and Development",NA,"10.2196/18049"
"Engaging Patients in Co-Design of Mobile Health Tools for Surgical Site Infection Surveillance: Implications for Research and Implementation.",NA,"10.1089/sur.2019.148"
"Using Co-design in Mobile Health System Development: A Qualitative Study With Experts in Co-design and Mobile Health System Development",NA,"10.2196/27896"
"Operationalizing mHealth to improve patient care: a qualitative implementation science evaluation of the WelTel texting intervention in Canada and Kenya.",NA,"10.1186/s12992-017-0311-z"
"A Collaboration Between Game Developers and Rehabilitation Researchers to Develop a Web-Based App for Persons With Physical Disabilities: Case Study",NA,"10.2196/13511"
"Using a Collaborative Research Approach to Develop an Interdisciplinary Research Agenda for the Study of Mobile Health Interventions for Older Adults",NA,"10.2196/mhealth.3509"
"The Communication, Awareness, Relationships and Empowerment (C.A.R.E.) Model: An Effective Tool for Engaging Urban Communities in Community-Based Participatory  Research.",NA,"10.3390/ijerph14111422"
"Leveraging mobile health applications for biomedical research and citizen science: a scoping review.",NA,"10.1093/jamia/ocy130"
