"title","year","doi"
"Just telling and selling: current limitations in the use of digital media in public health: a scoping review.",NA,"10.1016/j.puhe.2014.09.009"
"Leaders’ perspectives on learning health systems: a qualitative study",NA,"10.1186/s12913-020-05924-w"
"Lessons Learned from a Community-Academic Project Using Telemedicine for Eye Screening Among Urban Latinos",2019,"10.1353/cpr.2019.0018"
"Leveraging design thinking to build sustainable mobile health systems.",NA,"10.1080/03091902.2016.1218560"
"Leveraging mobile health applications for biomedical research and citizen science: a scoping review.",NA,"10.1093/jamia/ocy130"
"Listening to the citizens and building health care of the future.",NA,"10.5334/ijic.s2142"
"mHealth for Integrated People-Centred Health Services in the Western Pacific: A Systematic Review",2020,"10.1016/j.ijmedinf.2020.104259"
"mHealth Research Applied to Regulated and Unregulated Behavioral Health Sciences",2020,"10.1177/1073110520917029"
"mHealth text messaging for physical activity promotion in college students: a formative participatory approach.",NA,"10.5993/AJHB.39.3.12"
"mJustice: Preliminary Development of a Mobile App for Medical-Forensic Documentation of Sexual Violence in Low-Resource Environments and Conflict Zones.",NA,"10.9745/GHSP-D-16-00233"
"MyStrengths, a Strengths-Focused Mobile Health Tool: Participatory Design and Development",NA,"10.2196/18049"
"One Digital Health: A unified framework for future health ecosystems",NA,"10.2196/22189"
"OP62 Let's Co-design A Tool To Assess Overweight And Obesity Health Apps",NA,"10.1017/S0266462319001235"
"Operationalizing mHealth to improve patient care: a qualitative implementation science evaluation of the WelTel texting intervention in Canada and Kenya.",NA,"10.1186/s12992-017-0311-z"
"Participatory approaches involving community and healthcare providers in family planning/contraceptive information and service provision: A scoping review",2016,"10.1186/s12978-016-0198-9"
"Participatory co-design and normalisation process theory with staff and patients to implement digital ways of working into routine care: the example of electronic patient-reported outcomes in UK renal services",NA,"10.1186/s12913-021-06702-y"
"Participatory design methods in telemedicine research",2017,"10.1177/1357633X16686747"
"Participatory design of ehealth solutions for women from vulnerable populations with perinatal depression.",NA,"10.1093/jamia/ocv109"
"Participatory Design With Seniors: Design of Future Services and Iterative Refinements of Interactive eHealth Services for Old Citizens.",NA,"10.2196/med20.2729"
"Participatory digital health research: A new paradigm for mHealth tool development",2020,"10.1016/j.genhosppsych.2020.07.005"
"Participatory Methods to Engage Health Service Users in the Development of Electronic Health Resources: Systematic Review",NA,"10.2196/11474"
"Participatory research to design a novel telehealth system to support the night-time needs of people with dementia: NOCTURNAL",2013,"10.3390/ijerph10126764"
"Partnered innovation to implement timely and personalized care: A case study",NA,"10.1017/cts.2021.778"
"Partnering in Digital Health Design: Engaging the Multidisciplinary Team in a Needs Analysis.",NA,""
"Patient and Provider Cocreation of Mobile Texting Apps to Support Behavioral Health: Usability Study.",NA,"10.2196/12655"
"Patient Experiences of Diabetes eHealth",NA,"10.4018/ijskd.2014010101"
"People Centeredness, Chronic Conditions and Diversity Sensitive eHealth: Exploring Emancipation of the ‘Health Care System’ and the ‘Patient’ in Health Informatics",NA,"10.3390/life10120329"
"Personal digital health hubs for multiple conditions",NA,"10.2471/BLT.19.249136"
"Photovoice as a research, advocacy, and harmonization tool for refugee and local youth in Turkey",2021,"10.1093/eurpub/ckab164.864"
"Practitioner review: Co‐design of digital mental health technologies with children and young people",2020,"10.1111/jcpp.13258"
"Preventing Cardiovascular Disease Among Urban African Americans With a Mobile Health App (the MOYO App): Protocol for a Usability Study",2020,"10.2196/16699"
"Promoting cardiovascular health and wellness among African-Americans: Community participatory approach to design an innovative mobile-health intervention",2019,"10.1371/journal.pone.0218724"
"Promoting cardiovascular health and wellness among African-Americans: Community participatory approach to design an innovative mobile-health intervention.",NA,"10.1371/journal.pone.0218724"
"Reach Out Churches: A Community-Based Participatory Research Pilot Trial to Assess the Feasibility of a Mobile Health Technology Intervention to Reduce Blood Pressure Among African Americans",2018,"10.1177/1524839917710893"
"Realizing the Potential of Patient Engagement: Designing IT to Support Health in Everyday Life",2016,""
"Reducing the Risk of Postpartum Depression in a Low-Income Community Through a Community Health Worker Intervention",2018,"10.1007/s10995-017-2419-4"
"Reflections on the Values of Community-Based Participatory Research in Supporting Mobile Health Technology Use",2020,"10.1161/CIRCOUTCOMES.120.007131"
"Reliable Data Collection in Participatory Trials to Assess Digital Healthcare Applications",NA,"10.1109/ACCESS.2020.2985122"
"Selecting Evidence-Based Content for Inclusion in Self-Management Apps for Pressure Injuries in Individuals With Spinal Cord Injury: Participatory Design Study.",NA,"10.2196/15818"
"SP0135 Co-Designing A Mobile Internet Service for Self-Management of Physical Activity in Rheumatoid Arthritis",NA,"10.1136/annrheumdis-2016-eular.6208"
"Sustainable Value Co-Creation and Digital Health: The Case of Trentino eHealth Ecosystem",NA,"10.3390/su12135263"
"Systematically developing a family-based health promotion intervention for women with prior gestational diabetes based on evidence, theory and co-production: the Face-it study",NA,"10.1186/s12889-021-11655-2"
"Tackling wicked problems in infection prevention and control: a guideline for co-creation with stakeholders",2016,"10.1186/s13756-016-0119-2"
"Targeting ethical considerations tied to image-based mobile health diagnostic support specific to clinicians in low-resource settings: the Brocher proposition.",NA,"10.1080/16549716.2019.1666695"
"The Communication, Awareness, Relationships and Empowerment (C.A.R.E.) Model: An Effective Tool for Engaging Urban Communities in Community-Based Participatory  Research.",NA,"10.3390/ijerph14111422"
"The Communication, Awareness, Relationships and Empowerment (C.A.R.E.) Model: An Effective Tool for Engaging Urban Communities in Community-Based Participatory Research",2017,"10.3390/ijerph14111422"
"The Design and Rationale of a Pilot Study: A COmmunity and Tech-Based ApproaCh for Hypertension Self-MANagement (COACHMAN)",2020,""
"The Development of Complex Digital Health Solutions: Formative Evaluation Combining Different Methodologies",NA,"10.2196/resprot.9521"
"The equity paradox: older patients' participation in patient portal development.",NA,"10.1093/intqhc/mzy245"
"The Impact of COVID-19 on Community-Based Exercise Classes for People With Parkinson Disease",2021,"10.1093/ptj/pzab203"
"The new role of patients in future health settings.",NA,""
"The Nordic @geing Online project: Co-creating a social application together with older adults",NA,"10.1093/eurpub/ckz185.297"
"The Optimization of an eHealth Solution (Thought Spot) with Transition-Aged Youth in Postsecondary Settings: Participatory Design Research.",NA,"10.2196/jmir.8102"
"The Perils of Parity: Should Citizen Science and Traditional Research Follow the Same Ethical and Privacy Principles?",2020,"10.1177/1073110520917031"
"The use of social features in mobile health interventions to promote physical activity: a systematic review",2018,"10.1038/s41746-018-0051-3"
"The Value of Including People with Dementia in the Co-Design of Personalized eHealth Technologies.",NA,"10.1159/000497804"
"There Oughta Be a Law: When Does(n't) the U.S. Common Rule Apply?",2020,"10.1177/1073110520917030"
"Time to listen: a mixed-method study examining community-based views of mobile technology for interventions to promote physical activity",NA,"10.1136/bmjhci-2020-100140"
"To What Extent Does the EU General Data Protection Regulation (GDPR) Apply to Citizen Scientist-Led Health Research with Mobile Devices?",2020,"10.1177/1073110520917046"
"Towards Co-Creation of eHealth Services",NA,""
"Usability and feasibility of a tablet-based Decision-Support and Integrated Record-keeping (DESIRE) tool in the nurse management of hypertension in rural  western Kenya.",NA,"10.1016/j.ijmedinf.2014.12.005"
"Usability evaluations of mobile mental health technologies: Systematic review",NA,"10.2196/15337"
"Use of an holistic approach for effective adoption of User-Centred-Design techniques in diabetes disease management: Experiences in user need elicitation.",NA,"10.1109/EMBC.2015.7318812"
"Use of Design Science for Informing the Development of a Mobile App for Persons Living with HIV.",NA,""
"Use of Mobile Health Applications in Low-Income Populations: A Prospective Study of Facilitators and Barriers",2020,"10.1161/CIRCOUTCOMES.120.007031"
"User-Centered Design Process of an mHealth App for Health Professionals: Case Study.",NA,"10.2196/18079"
"User-centred co-design with multiple user groups: The case of the electronic Patient Reported Outcome (ePRO) mobile application and portal.",NA,"10.5334/ijic.s3439"
"User-Centred Design of a Digital Care Plan for Patients and Professionals in Cross-Organisational Teams.",NA,"10.3233/SHTI210309"
"User-Innovated eHealth Solutions for Service Delivery to Older Persons With Hearing Impairment",2018,"10.1044/2018_AJA-IMIA3-18-0009"
"User participation for successful development of eHealth self-management interventions...European Academy of Nursing Science and the Swedish Society of Nursing Summer Conference 2017: The Future Direction of European Nursing and Nursing Research.",NA,"10.1186/s12912-017-0218-2"
"Using a Collaborative Research Approach to Develop an Interdisciplinary Research Agenda for the Study of Mobile Health Interventions for Older Adults",NA,"10.2196/mhealth.3509"
"Using Co-design in Mobile Health System Development: A Qualitative Study With Experts in Co-design and Mobile Health System Development",NA,"10.2196/27896"
"Using codesign to develop a culturally tailored, behavior change mHealth intervention for indigenous and other priority communities: A case study in New Zealand",2019,"10.1093/tbm/iby093"
"Using Grounded Theory to Inform the Human-Centered Design of Digital Health in Geriatric Palliative Care",NA,"10.1016/j.jpainsymman.2020.06.027"
"Using Mobile Devices to Deliver Lifestyle Interventions Targeting At-Risk High School Students: Protocol for a Participatory Design Study",NA,"10.2196/14588"
"Using Participatory Design to Inform the Connected and Open Research Ethics (CORE) Commons",NA,"10.1007/s11948-019-00086-3"
"Using participatory methods to design an mHealth intervention for a low income country, a case study in Chikwawa, Malawi.",NA,"10.1186/s12911-017-0485-6"
"Using Theories of Change to inform implementation of health systems research and innovation: experiences of Future Health Systems consortium partners in Bangladesh, India and Uganda",2017,"10.1186/s12961-017-0272-y"
"What is needed to implement a computer-assisted health risk assessment tool? An exploratory concept mapping study",NA,"10.1186/1472-6947-12-149"
"Wise practices for cultural safety in electronic health research and clinical trials with indigenous people: Secondary analysis of a randomized clinical trial",NA,"10.2196/14203"
"Working with patients and the public to design an electronic health record interface: a qualitative mixed-methods study.",NA,"10.1186/s12911-019-0993-7"
